Country,electricity,mortality,emissions,emissionsCapita,CPI,Current health expenditure (% of GDP),GDPGrowth,GDP,EducationSpending,Internet,lifeexp,Literacy,popLargeCity,Unemployment,population,continent
Niger,17.90511894,46.54,2070,0.09582274,108.8838789,7.66223145,4.999097165,535.1769166,13.21516037,10.22431156,61.599,..,1177828,7.77,24346468,Africa
Nigeria,54.4,38.384,112920,0.591596789,214.2321193,3.75553846,0.80588662,2399.732051,..,28,53.95,..,13042316,8.39,206984347,Africa
Nigeria,54.4,38.384,112920,0.591596789,214.2321193,3.75553846,0.80588662,2399.732051,..,28,53.95,..,13042316,8.39,206984347,Africa
Nigeria,54.4,38.384,112920,0.591596789,214.2321193,3.75553846,0.80588662,2399.732051,..,28,53.95,..,13042316,8.39,206984347,Africa
Nigeria,54.4,38.384,112920,0.591596789,214.2321193,3.75553846,0.80588662,2399.732051,..,28,53.95,..,13042316,8.39,206984347,Africa
North Macedonia,100,10.953,7860,3.775223391,110.9158333,6.5939827,1.081772738,5303.712927,..,74.51682418,75.589,..,575931,22.38,2083359,Europe
Northern Mariana Islands,100,..,..,..,..,..,23.17073171,23217.15913,..,..,..,..,..,..,57619,Europe
Norway,100,10.7,36900,6.992651841,114.5507194,10.31589031,2.323258407,91549.03787,16.01365089,96.3576013,82.6097561,..,997451,4.16,5428594,Europe
Oman,100,19.786,69900,14.98094912,112.3871221,3.97352886,0.346322041,16067.10371,..,80.18563573,77.393,95.5759964,1377500,..,5128058,Asia
Pakistan,70.79,28.599,197700,0.950909547,156.9113459,2.90229368,5.554277437,1155.310441,14.54477978,13.78,66.947,59.13204956,15020931,..,221612785,Asia
Palau,100,12.4,270,15.16087372,118.1686747,12.12845135,-1.916360453,12257.02765,..,..,..,..,..,..,18109,..
Panama,93.7,19.263,10250,2.495882403,121.577794,6.89914465,5.591148876,11529.23293,..,59.9506309,78.149,..,1745913,3.9,4326296,North America
Panama,93.7,19.263,10250,2.495882403,121.577794,6.89914465,5.591148876,11529.23293,..,59.9506309,78.149,..,1745913,3.9,4326296,North America
Papua New Guinea,54.4,27.364,7700,0.912534407,143.7313837,2.27085471,3.534610818,2452.324164,10.69820023,11.20919659,64.01,..,359441,..,8975531,Oceania
Papua New Guinea,54.4,27.364,7700,0.912534407,143.7313837,2.27085471,3.534610818,2452.324164,10.69820023,11.20919659,64.01,..,359441,..,8975531,Oceania
Paraguay,99.3,20.787,8000,1.164982151,134.6105574,6.65456867,4.810078856,5269.720155,..,61.07575622,73.992,..,3134940,4.61,7147553,South America
Peru,94.8,18.134,53990,1.717004408,125.4163418,4.99378443,2.518835442,6314.291036,18.23591995,50.45041218,76.286,94.14961243,10194477,3.69,33050211,South America
Philippines,93,21.036,136590,1.298718327,120.2113525,4.4460597,6.930988326,3042.694287,..,..,70.952,..,13271721,2.55,109830324,Asia
Poland,100,10.6,312820,8.237562431,109.6376705,6.56172848,4.83065457,15802.70479,11.05910969,75.98536595,77.75365854,..,1758551,4.89,37839255,Europe
Portugal,100,8.4,53330,5.177519101,109.1667051,9.33004951,3.506345285,23380.69282,11.05803967,73.79121395,81.42439024,..,2912590,8.87,10191409,Europe
Puerto Rico,100,7.3,..,..,..,..,-2.885954759,27561.05306,..,68.74077314,79.63453659,92.38999939,2457302,10.8,2846860,North America
Qatar,100,9.698,87680,32.17937063,115.8588034,2.72160077,-1.49760469,64472.7763,8.560850143,97.38884917,79.981,93.46396637,659067,0.14,2889284,Asia
Romania,100,10.8,74100,3.782790244,113.9463616,5.1508317,7.319448529,10980.84149,10.05265045,63.74728218,75.3097561,..,1830515,4.93,19214608,Europe
Romania,100,10.8,74100,3.782790244,113.9463616,5.1508317,7.319448529,10980.84149,10.05265045,63.74728218,75.3097561,..,1830515,4.93,19214608,Africa
Russia,100,11.2,1557190,10.77664459,168.1752389,5.34388065,1.825790064,11550.5252,13.46508026,76.00813853,72.45146341,..,12288465,5.21,145945524,Europe
Rwanda,34.1,32.062,1050,0.087639054,146.6292873,6.93017101,3.976289694,799.0885654,11.07960987,21.76763262,68.341,..,1021081,17.36,13005303,Africa
Rwanda,34.1,32.062,1050,0.087639054,146.6292873,6.93017101,3.976289694,799.0885654,11.07960987,21.76763262,68.341,..,1021081,17.36,13005303,Africa
Samoa,96.8,24.689,300,1.535642257,111.7224715,5.50720882,1.044879689,3848.183165,..,33.61093932,73.046,..,..,14.47,198643,..
San Marino,100,6.7,..,..,110.6315956,7.24210215,0.258265466,49238.08445,13.10361004,60.18230126,..,..,..,..,33944,Europe
San Marino,100,6.7,..,..,110.6315956,7.24210215,0.258265466,49238.08445,13.10361004,60.18230126,..,..,..,..,33944,Africa
Sao Tome and Principe,74.27,31.967,130,0.627758516,171.6063318,6.46091604,3.848980918,1283.627557,18.39999962,29.9312292,69.933,..,..,..,..,Africa
Sao Tome and Principe,74.27,31.967,130,0.627758516,171.6063318,6.46091604,3.848980918,1283.627557,18.39999962,29.9312292,69.933,..,..,..,..,Europe
Saudi Arabia,99.93,18.319,540700,16.33476362,118.0299772,7.00368643,-0.741502653,20692.67147,..,94.17559961,74.874,95.32862854,6669098,5.89,34905942,Asia
Saudi Arabia,99.93,18.319,540700,16.33476362,118.0299772,7.00368643,-0.741502653,20692.67147,..,94.17559961,74.874,95.32862854,6669098,5.89,34905942,Asia
Senegal,61.7,35.12,9570,0.620648569,106.8705601,4.06742668,7.407486186,1456.51531,21.04521942,29.64312367,67.38,51.90042114,2903112,3.690000057,16816539,Africa
Serbia,100,9.2,46900,6.680095225,138.6654534,8.23131752,2.101163847,6565.463903,9.25646019,70.33083553,75.53902439,..,1382669,13.48,8731081,Europe
Serbia,100,9.2,46900,6.680095225,138.6654534,8.23131752,2.101163847,6565.463903,9.25646019,70.33083553,75.53902439,..,1382669,13.48,8731081,Asia
Seychelles,100,17.2,590,6.155900796,123.0945572,4.98940706,4.821336987,14088.5773,..,58.76981124,74.3,..,..,3.71,98453,Africa
Sierra Leone,23.4,33.939,970,0.129533212,175.7826968,16.6201725,4.211182649,466.9453188,19.89410019,13.23693043,53.895,..,1104136,..,8004158,Africa
Singapore,100,8.9,47430,8.451151436,113.2659229,4.4177866,4.520379476,57527.56189,..,84.45226789,83.09512195,97.2022171,5708844,4.2,5858322,Asia
Sint Maarten (Dutch part),100,9,..,..,116.6435463,..,-5.8,..,..,..,..,..,..,..,..,..
Slovak Republic,100,10.7,33580,6.173665694,109.5903321,6.76883841,2.989520318,19821.84347,9.761619568,81.62566752,77.16585366,..,427245,8.13,..,Europe
Slovak Republic,100,10.7,33580,6.173665694,109.5903321,6.76883841,2.989520318,19821.84347,9.761619568,81.62566752,77.16585366,..,427245,8.13,..,North America
Slovak Republic,100,10.7,33580,6.173665694,109.5903321,6.76883841,2.989520318,19821.84347,9.761619568,81.62566752,77.16585366,..,427245,8.13,..,Africa
Slovenia,100,9.8,14140,6.842858166,107.4021101,8.18941784,4.79354876,25729.5753,12.02299976,78.88542636,81.02926829,..,..,6.56,2078989,Europe
Slovenia,100,9.8,14140,6.842858166,107.4021101,8.18941784,4.79354876,25729.5753,12.02299976,78.88542636,81.02926829,..,..,6.56,2078989,Europe
Solomon Islands,62.9,32.877,350,0.550288508,126.5414528,4.74138927,5.343587695,1751.536243,..,11.92422906,72.645,..,..,..,689671,..
Somalia,32.5946312,41.919,660,0.045239052,..,..,1.391181325,..,..,2.004048698,56.709,..,1976828,..,15965848,Africa
Somalia,32.5946312,41.919,660,0.045239052,..,..,1.391181325,..,..,2.004048698,56.709,..,1976828,..,15965848,Europe
South Africa,84.4,20.908,435140,7.632729355,146.0537215,8.11311913,1.414512626,7475.166701,18.71529961,56.16739447,63.538,87.04666901,5313563,27.04,59436725,Africa
South Africa,84.4,20.908,435140,7.632729355,146.0537215,8.11311913,1.414512626,7475.166701,18.71529961,56.16739447,63.538,87.04666901,5313563,27.04,59436725,North America
South Africa,84.4,20.908,435140,7.632729355,146.0537215,8.11311913,1.414512626,7475.166701,18.71529961,56.16739447,63.538,87.04666901,5313563,27.04,59436725,Africa
South Africa,84.4,20.908,435140,7.632729355,146.0537215,8.11311913,1.414512626,7475.166701,18.71529961,56.16739447,63.538,87.04666901,5313563,27.04,59436725,Asia
South Africa,84.4,20.908,435140,7.632729355,146.0537215,8.11311913,1.414512626,7475.166701,18.71529961,56.16739447,63.538,87.04666901,5313563,27.04,59436725,Africa
South Sudan,4.2,35.37,1520,0.13931184,4583.705462,8.37437344,..,..,1.073699951,7.977428907,57.365,..,352229,..,11216250,Africa
South Sudan,4.2,35.37,1520,0.13931184,4583.705462,8.37437344,..,..,1.073699951,7.977428907,57.365,..,352229,..,11216250,Africa
South Sudan,4.2,35.37,1520,0.13931184,4583.705462,8.37437344,..,..,1.073699951,7.977428907,57.365,..,352229,..,11216250,Asia
South Sudan,4.2,35.37,1520,0.13931184,4583.705462,8.37437344,..,..,1.073699951,7.977428907,57.365,..,352229,..,11216250,Africa
Spain,100,8.4,263440,5.654039569,108.3753351,8.94249249,2.973641191,32308.59201,10.22509003,84.6022457,83.28292683,..,6403902,17.22,46757980,Europe
Sri Lanka,97.5,16.106,23310,1.087017348,147.0878582,3.80975389,3.578169679,3860.150308,14.49975967,21.3,76.648,91.89575195,593517,4.05,21428970,Asia
St. Kitts and Nevis,100,..,240,4.61219156,105.661275,5.69199848,-1.977829212,16589.38411,..,80.71019081,..,..,..,..,..,North America
St. Lucia,98.29696655,12.143,370,2.044707248,108.0377983,4.7146244,3.48884866,9046.274228,..,50.81524478,75.907,..,..,18.86,..,North America
St. Martin (French part),100,15,..,..,..,..,..,..,..,..,79.62195122,..,..,..,..,Europe
St. Vincent and the Grenadines,99.97125244,14.403,270,2.458434251,107.1747766,4.3064785,1.000357879,6730.960309,18.94894981,65.56,72.3,..,..,..,..,North America
Sudan,50.65546417,32.542,20340,0.498365757,545.174403,6.30497503,4.674112518,2086.971946,..,..,64.881,..,5395378,..,44019263,Africa
Sudan,50.65546417,32.542,20340,0.498365757,545.174403,6.30497503,4.674112518,2086.971946,..,..,64.881,..,5395378,..,44019263,Africa
Suriname,96.72870636,18.791,2130,3.733560502,263.9672515,6.22976971,1.567191065,8011.936699,..,48.94517397,71.463,..,..,..,587541,South America
Sweden,100,11.5,38330,3.811011227,106.4917747,10.78592205,2.567924525,57467.24997,15.79839993,93.00626697,82.4097561,..,1553180,6.72,10110233,Europe
Switzerland,100,10.3,38620,4.569419203,98.2668532,11.89515591,1.584819616,80964.60057,15.5774498,89.68614767,83.55121951,..,1356037,4.8,8665615,Europe
Syrian Arab Republic,89.56895447,24.115,29100,1.702185507,..,..,..,..,..,34.25340193,70.967,..,2286820,..,..,Asia
Syrian Arab Republic,89.56895447,24.115,29100,1.702185507,..,..,..,..,..,34.25340193,70.967,..,2286820,..,..,North America
Tajikistan,99.3,31.364,6370,0.717320532,..,7.2288146,7.100001403,1020.176108,..,21.96,70.647,..,852071,..,9573310,Asia
Tajikistan,99.3,31.364,6370,0.717320532,..,7.2288146,7.100001403,1020.176108,..,21.96,70.647,..,852071,..,9573310,Asia
Tanzania,32.41840363,37.075,11360,0.207828911,175.0378356,3.63913774,6.785680114,937.362559,24.39653969,15.99999943,64.479,..,5719486,..,60012400,Africa
Thailand,99.9,10.513,260660,3.766228713,111.2868092,3.83202839,4.177681032,6142.409493,..,52.89192934,76.683,..,9898653,0.83,69830779,Asia
Timor-Leste,83.23754883,29.453,600,0.482602191,141.5838971,4.33655405,-4.103609745,865.7040827,8.28357029,27.49273173,69.007,..,..,..,1322667,..
Togo,48,33.55,2070,0.268884387,111.5035993,6.02144766,4.347748238,661.0868039,23.14003944,12.36022497,60.489,..,1708106,3.74,8310934,Africa
Tonga,98.33101654,24.626,180,1.764671281,121.0940352,5.05521584,3.322432544,4415.716328,..,41.24872764,70.701,..,..,..,105901,..
Trinidad and Tobago,100,13.302,18190,13.14249382,140.3239788,7.02028561,-2.987340197,15217.97344,..,77.32605293,73.245,..,544631,..,1400283,North America
Trinidad and Tobago,100,13.302,18190,13.14249382,140.3239788,7.02028561,-2.987340197,15217.97344,..,77.32605293,73.245,..,544631,..,1400283,Africa
Tunisia,100,18.01,29890,2.614261782,135.633146,7.25768566,1.918055729,4343.445853,..,55.50015506,76.31,..,2254227,15.33,11839918,Africa
Turkey,100,16.264,415900,5.127196701,174.9687033,4.17974997,7.501997489,14972.88106,..,64.68461768,77.161,96.15052795,14539767,10.82,84495243,Asia
Turkmenistan,100,24.615,71960,12.49811773,..,6.93379545,6.500000047,7318.068043,..,21.25099741,67.956,..,790827,..,6046292,..
Turks and Caicos Islands,100,..,..,..,..,..,-2.490218992,..,..,..,..,..,..,..,..,..
Tuvalu,99.76225281,..,10,0.879894413,..,17.72825432,4.094017717,3591.87201,..,49.31833862,..,..,..,..,11817,..
Uganda,32.72455978,38.947,5840,0.141862619,164.7001798,6.48715639,3.809129029,912.8952059,12.46216011,..,62.516,..,2843137,10.09,45974931,Africa
Uganda,32.72455978,38.947,5840,0.141862619,164.7001798,6.48715639,3.809129029,912.8952059,12.46216011,..,62.516,..,2843137,10.09,45974931,Africa
Ukraine,100,9.4,174840,3.899968181,235.2992044,7.43332434,2.466035625,2988.504215,13.05142021,58.88947945,71.78097561,..,2935992,9.5,43686577,Europe
United Arab Emirates,100,10.456,208250,21.95061433,113.302921,4.14456415,2.37353671,41460.27034,..,94.81992254,77.647,..,2650883,2.46,9910892,Asia
United Kingdom,100,11.4,366380,5.546265944,114.9435916,9.82511234,1.740309443,42970.79128,14.19027996,90.42455049,81.25609756,..,8916251,4.33,67948282,Europe
United Kingdom,100,11.4,366380,5.546265944,114.9435916,9.82511234,1.740309443,42970.79128,14.19027996,90.42455049,81.25609756,..,8916251,4.33,67948282,North America
United States of America,100,11.8,4813720,14.80588242,112.4115573,17.00361443,2.332679395,53636.47538,..,87.27488917,78.53902439,..,18761941,4.36,..,North America
United States of America,100,11.8,4813720,14.80588242,112.4115573,17.00361443,2.332679395,53636.47538,..,87.27488917,78.53902439,..,18761941,4.36,..,Africa
Uruguay,99.8,13.963,6080,1.769167313,174.8000343,9.51635647,1.627753973,14301.78634,14.93610954,70.3223544,77.632,98.61572266,1727095,7.89,3475842,South America
Uzbekistan,100,22.1,111380,3.438864292,..,5.07679749,4.46152609,2290.38133,23.03091049,48.69999885,71.388,..,2435365,5.8,33551824,Asia
Vanuatu,62.8,30.015,170,0.595448671,111.3845888,2.76094961,6.315604199,2832.83983,12.69207954,25.71978784,70.172,..,..,..,308337,..
"Venezuela, RB",99.2,18.232,148740,5.058756948,..,6.22255135,..,..,..,..,72.246,..,2929709,5.05,..,South America
Vietnam,100,16.979,222130,2.348081292,153.6316522,5.92534494,6.81224566,1852.884669,..,58.14,75.241,..,7870501,1.87,97490013,Asia
Virgin Islands (U.S.),100,12.8,..,..,..,..,-0.606447494,29697.31413,..,64.3774943,79.36829268,..,..,..,..,..
West Bank and Gaza,99.7,29.905,..,..,110.9823502,..,1.419367563,3025.232759,..,63.3,73.74,..,654538,25.68,..,Asia
"Yemen, Rep.",79.2,31.04,10060,0.361417938,..,..,-5.071795639,643.1643811,..,26.71835477,66.086,..,2681100,..,..,Asia
Zambia,40.3,36.699,6990,0.414747987,180.9490794,4.39748955,3.504336096,1660.774099,14.80745029,..,63.043,..,2406227,11.63,18468257,Africa
Zambia,40.3,36.699,6990,0.414747987,180.9490794,4.39748955,3.504336096,1660.774099,14.80745029,..,63.043,..,2406227,11.63,18468257,Africa
Zambia,40.3,36.699,6990,0.414747987,180.9490794,4.39748955,3.504336096,1660.774099,14.80745029,..,63.043,..,2406227,11.63,18468257,Africa
Zimbabwe,40.14428329,31.732,10230,0.718570496,105.5084136,5.84977484,4.699399849,1263.278346,20.78960037,24.4,60.812,..,1509901,..,14899771,Africa
